"dep","sexe","jour","hosp","rea","HospConv","SSR_USLD","autres","rad","dc"
"38","2","2021-07-28","48","3","28","13","4","3979","742"
"39","0","2021-07-28","10","1","6","0","3","2004","486"
"39","1","2021-07-28","6","1","3","0","2","914","253"
"39","2","2021-07-28","4","0","3","0","1","1073","230"
"40","0","2021-07-28","24","3","18","3","0","936","251"
"40","1","2021-07-28","12","1","11","0","0","482","130"
"40","2","2021-07-28","12","2","7","3","0","451","118"
"41","0","2021-07-28","27","1","5","20","1","1651","331"
"41","1","2021-07-28","19","0","4","14","1","831","201"
"41","2","2021-07-28","8","1","1","6","0","815","130"
"42","0","2021-07-28","67","7","33","27","0","5947","1369"
"42","1","2021-07-28","41","4","22","15","0","2969","793"
"42","2","2021-07-28","26","3","11","12","0","2935","566"
"43","0","2021-07-28","28","1","7","19","1","1298","258"
"43","1","2021-07-28","12","0","4","8","0","635","146"
"43","2","2021-07-28","16","1","3","11","1","643","110"
"44","0","2021-07-28","51","7","25","18","1","4020","847"
"44","1","2021-07-28","30","4","14","11","1","2018","472"
"44","2","2021-07-28","21","3","11","7","0","2002","375"
"45","0","2021-07-28","96","16","23","52","5","3141","657"
"45","1","2021-07-28","48","11","8","27","2","1592","400"
"45","2","2021-07-28","48","5","15","25","3","1533","254"
"46","0","2021-07-28","2","0","0","2","0","415","100"
"46","1","2021-07-28","1","0","0","1","0","204","61"
"46","2","2021-07-28","1","0","0","1","0","210","39"
"47","0","2021-07-28","15","1","13","1","0","886","185"
"47","1","2021-07-28","7","0","6","1","0","443","112"
"47","2","2021-07-28","8","1","7","0","0","419","69"
"48","0","2021-07-28","2","0","1","1","0","451","119"
"48","1","2021-07-28","1","0","1","0","0","241","70"
"48","2","2021-07-28","1","0","0","1","0","205","49"
"49","0","2021-07-28","52","8","27","16","1","3415","714"
"49","1","2021-07-28","34","8","16","10","0","1678","441"
"49","2","2021-07-28","18","0","11","6","1","1737","273"
"50","0","2021-07-28","62","5","16","41","0","1534","379"
"50","1","2021-07-28","37","3","10","24","0","774","211"
"50","2","2021-07-28","24","2","5","17","0","747","163"
"51","0","2021-07-28","60","3","34","23","0","3642","912"
"51","1","2021-07-28","25","2","17","6","0","1823","509"
"51","2","2021-07-28","31","1","15","15","0","1775","393"
"52","0","2021-07-28","11","0","5","6","0","1384","373"
"52","1","2021-07-28","6","0","4","2","0","664","190"
"52","2","2021-07-28","5","0","1","4","0","709","178"
"53","0","2021-07-28","8","2","5","1","0","1301","277"
"53","1","2021-07-28","2","1","1","0","0","634","154"
"53","2","2021-07-28","6","1","4","1","0","667","123"
"54","0","2021-07-28","102","13","55","32","2","4727","1214"
"54","1","2021-07-28","41","6","23","12","0","2348","698"
"54","2","2021-07-28","60","7","31","20","2","2348","509"
"55","0","2021-07-28","7","0","2","4","1","1403","382"
"55","1","2021-07-28","2","0","2","0","0","692","214"
"55","2","2021-07-28","5","0","0","4","1","707","168"
"56","0","2021-07-28","76","8","28","9","31","2098","435"
"56","1","2021-07-28","41","6","15","3","17","1061","253"
"56","2","2021-07-28","35","2","13","6","14","1024","180"
"57","0","2021-07-28","87","15","47","22","3","7652","2415"
"57","1","2021-07-28","46","12","21","12","1","3842","1349"
"57","2","2021-07-28","41","3","26","10","2","3764","1047"
"58","0","2021-07-28","25","1","3","21","0","1095","334"
"58","1","2021-07-28","13","0","2","11","0","514","189"
"58","2","2021-07-28","12","1","1","10","0","565","142"
"59","0","2021-07-28","300","31","158","103","8","17562","3905"
"59","1","2021-07-28","140","22","65","48","5","8717","2135"
"59","2","2021-07-28","156","9","92","52","3","8688","1747"
"60","0","2021-07-28","124","8","26","88","2","5208","1391"
"60","1","2021-07-28","64","6","13","44","1","2580","771"
"60","2","2021-07-28","60","2","13","44","1","2588","608"
"61","0","2021-07-28","36","3","11","22","0","1715","357"
"61","1","2021-07-28","11","2","4","5","0","796","201"
"61","2","2021-07-28","25","1","7","17","0","901","152"
"62","0","2021-07-28","221","22","102","96","1","8370","1956"
"62","1","2021-07-28","123","18","57","47","1","4004","1029"
"62","2","2021-07-28","98","4","45","49","0","4269","907"
"63","0","2021-07-28","57","3","20","23","11","2793","747"
"63","1","2021-07-28","24","1","10","9","4","1315","408"
"63","2","2021-07-28","30","2","10","14","4","1455","335"
"64","0","2021-07-28","71","8","36","27","0","2073","482"
"64","1","2021-07-28","37","6","19","12","0","1050","262"
"64","2","2021-07-28","32","2","15","15","0","1013","218"
"65","0","2021-07-28","11","2","7","2","0","987","210"
"65","1","2021-07-28","6","2","4","0","0","480","106"
"65","2","2021-07-28","5","0","3","2","0","502","104"
"66","0","2021-07-28","71","12","37","20","2","1451","335"
"66","1","2021-07-28","36","8","20","8","0","769","216"
"66","2","2021-07-28","35","4","17","12","2","681","118"
"67","0","2021-07-28","76","6","44","25","1","7381","1741"
"67","1","2021-07-28","38","3","20","14","1","3788","975"
"67","2","2021-07-28","35","2","22","11","0","3578","759"
"68","0","2021-07-28","45","8","24","11","2","6265","1527"
"68","1","2021-07-28","24","6","10","7","1","3222","868"
"68","2","2021-07-28","21","2","14","4","1","3033","656"
"69","0","2021-07-28","175","38","61","71","5","15504","3188"
"69","1","2021-07-28","97","23","36","36","2","7650","1861"
"69","2","2021-07-28","77","15","25","34","3","7691","1300"
"70","0","2021-07-28","12","1","7","4","0","1308","266"
"70","1","2021-07-28","5","1","3","1","0","650","152"
"70","2","2021-07-28","7","0","4","3","0","655","113"
"71","0","2021-07-28","48","2","23","17","6","4775","1107"
"71","1","2021-07-28","28","2","12","12","2","2191","590"
"71","2","2021-07-28","20","0","11","5","4","2543","509"
"72","0","2021-07-28","24","1","5","18","0","3006","610"
"72","1","2021-07-28","9","1","3","5","0","1423","350"
"72","2","2021-07-28","15","0","2","13","0","1583","260"
"73","0","2021-07-28","42","3","26","11","2","2933","701"
"73","1","2021-07-28","26","1","17","6","2","1462","403"
"73","2","2021-07-28","16","2","9","5","0","1455","296"
"74","0","2021-07-28","47","11","24","12","0","4998","1033"
"74","1","2021-07-28","19","6","8","5","0","2601","612"
"74","2","2021-07-28","27","5","16","6","0","2373","418"
"75","0","2021-07-28","266","71","138","54","3","20957","4586"
"75","1","2021-07-28","155","47","79","28","1","11261","2831"
"75","2","2021-07-28","109","23","58","26","2","9553","1738"
"76","0","2021-07-28","163","21","92","50","0","6746","1560"
"76","1","2021-07-28","73","11","38","24","0","3266","858"
"76","2","2021-07-28","88","9","53","26","0","3434","693"
"77","0","2021-07-28","125","37","37","49","2","9240","2055"
"77","1","2021-07-28","76","25","19","31","1","4777","1172"
"77","2","2021-07-28","49","12","18","18","1","4406","872"
"78","0","2021-07-28","117","21","35","58","3","8611","1853"
"78","1","2021-07-28","52","12","16","21","3","4383","1098"
"78","2","2021-07-28","65","9","19","37","0","4199","753"
"79","0","2021-07-28","6","1","4","1","0","1146","258"
"79","1","2021-07-28","4","0","4","0","0","536","146"
"79","2","2021-07-28","2","1","0","1","0","602","111"
"80","0","2021-07-28","149","13","67","66","3","3186","946"
"80","1","2021-07-28","60","7","25","26","2","1580","533"
"80","2","2021-07-28","87","6","41","40","0","1530","397"
"81","0","2021-07-28","25","3","10","12","0","1421","380"
"81","1","2021-07-28","13","3","6","4","0","712","227"
"81","2","2021-07-28","12","0","4","8","0","704","152"
"82","0","2021-07-28","16","2","9","5","0","925","226"
"82","1","2021-07-28","9","1","6","2","0","484","116"
"82","2","2021-07-28","7","1","3","3","0","427","102"
"83","0","2021-07-28","134","19","51","64","0","6209","1503"
"83","1","2021-07-28","66","18","19","29","0","3136","881"
"83","2","2021-07-28","68","1","32","35","0","2994","608"
"84","0","2021-07-28","50","4","22","21","3","4131","906"
"84","1","2021-07-28","19","1","11","7","0","2021","528"
"84","2","2021-07-28","31","3","11","14","3","2062","364"
"85","0","2021-07-28","16","3","7","6","0","1670","295"
"85","1","2021-07-28","10","2","4","4","0","845","184"
"85","2","2021-07-28","6","1","3","2","0","825","111"
"86","0","2021-07-28","4","0","2","2","0","1355","270"
"86","1","2021-07-28","1","0","1","0","0","709","147"
"86","2","2021-07-28","3","0","1","2","0","634","120"
"87","0","2021-07-28","32","7","15","10","0","1235","328"
"87","1","2021-07-28","15","5","5","5","0","586","189"
"87","2","2021-07-28","17","2","10","5","0","644","138"
"88","0","2021-07-28","30","2","7","21","0","2926","859"
"88","1","2021-07-28","15","1","4","10","0","1397","472"
"88","2","2021-07-28","15","1","3","11","0","1518","385"
"89","0","2021-07-28","24","3","14","6","1","2367","590"
"89","1","2021-07-28","13","2","7","3","1","1160","328"
"89","2","2021-07-28","11","1","7","3","0","1182","257"
"90","0","2021-07-28","4","0","4","0","0","2218","600"
"90","1","2021-07-28","1","0","1","0","0","1093","352"
"90","2","2021-07-28","3","0","3","0","0","1125","248"
"91","0","2021-07-28","174","28","41","102","3","9816","1900"
"91","1","2021-07-28","83","18","18","47","0","4832","1030"
"91","2","2021-07-28","90","10","23","54","3","4683","829"
"92","0","2021-07-28","303","43","97","143","20","15022","2736"
"92","1","2021-07-28","150","29","55","61","5","7860","1607"
"92","2","2021-07-28","145","14","41","79","11","7055","1116"
"93","0","2021-07-28","358","37","109","205","7","13737","2491"
"93","1","2021-07-28","184","24","56","103","1","7280","1476"
"93","2","2021-07-28","169","13","51","99","6","6306","989"
"94","0","2021-07-28","133","14","49","64","6","14140","2992"
"94","1","2021-07-28","63","12","27","20","4","7159","1698"
"94","2","2021-07-28","67","2","19","44","2","6862","1268"
"95","0","2021-07-28","132","12","30","82","8","9554","2049"
"95","1","2021-07-28","69","12","18","35","4","5021","1226"
"95","2","2021-07-28","63","0","12","47","4","4453","811"
"01","0","2021-07-29","54","4","18","32","0","2916","624"
"01","1","2021-07-29","24","3","8","13","0","1452","367"
"01","2","2021-07-29","30","1","10","19","0","1440","254"
"02","0","2021-07-29","40","3","17","18","2","4364","1118"
"02","1","2021-07-29","20","3","7","10","0","2110","617"
"02","2","2021-07-29","19","0","10","8","1","2232","493"
"03","0","2021-07-29","10","1","8","1","0","2162","589"
"03","1","2021-07-29","3","1","2","0","0","998","335"
"03","2","2021-07-29","7","0","6","1","0","1142","244"
"04","0","2021-07-29","38","1","7","30","0","1184","254"
"04","1","2021-07-29","19","1","5","13","0","567","151"
"04","2","2021-07-29","19","0","2","17","0","586","96"
"05","0","2021-07-29","10","0","6","3","1","1268","255"
"05","1","2021-07-29","3","0","1","2","0","632","156"
"05","2","2021-07-29","7","0","5","1","1","627","97"
"06","0","2021-07-29","161","21","87","50","3","6722","1539"
"06","1","2021-07-29","85","16","47","21","1","3372","891"
"06","2","2021-07-29","72","5","36","29","2","3260","632"
"07","0","2021-07-29","17","1","15","1","0","2068","502"
"07","1","2021-07-29","14","1","12","1","0","950","298"
"07","2","2021-07-29","3","0","3","0","0","1082","201"
"08","0","2021-07-29","2","0","2","0","0","1197","374"
"08","1","2021-07-29","1","0","1","0","0","613","219"
"08","2","2021-07-29","1","0","1","0","0","573","154"
"09","0","2021-07-29","21","5","15","1","0","437","81"
"09","1","2021-07-29","11","3","8","0","0","205","49"
"09","2","2021-07-29","10","2","7","1","0","228","32"
"10","0","2021-07-29","21","1","8","12","0","1974","442"
"10","1","2021-07-29","14","1","7","6","0","1023","264"
"10","2","2021-07-29","7","0","1","6","0","940","175"
"11","0","2021-07-29","56","7","38","10","1","1253","368"
"11","1","2021-07-29","28","5","18","5","0","628","211"
"11","2","2021-07-29","27","2","20","4","1","613","146"
"12","0","2021-07-29","10","0","5","5","0","1071","235"
"12","1","2021-07-29","4","0","2","2","0","544","134"
"12","2","2021-07-29","6","0","3","3","0","511","99"
"13","0","2021-07-29","470","81","184","194","11","21781","3646"
"13","1","2021-07-29","240","55","81","99","5","11214","2142"
"13","2","2021-07-29","228","26","103","94","5","10431","1477"
"14","0","2021-07-29","71","8","51","11","1","2720","615"
"14","1","2021-07-29","35","5","23","7","0","1318","341"
"14","2","2021-07-29","36","3","28","4","1","1386","270"
"15","0","2021-07-29","3","1","2","0","0","593","136"
"15","1","2021-07-29","3","1","2","0","0","287","78"
"15","2","2021-07-29","0","0","0","0","0","302","55"
"16","0","2021-07-29","13","1","5","7","0","671","159"
"16","1","2021-07-29","6","0","3","3","0","353","97"
"16","2","2021-07-29","7","1","2","4","0","310","62"
"17","0","2021-07-29","56","11","27","18","0","1203","331"
"17","1","2021-07-29","30","6","14","10","0","642","207"
"17","2","2021-07-29","26","5","13","8","0","558","124"
"18","0","2021-07-29","12","0","7","5","0","1585","514"
"18","1","2021-07-29","8","0","4","4","0","735","274"
"18","2","2021-07-29","4","0","3","1","0","846","239"
"19","0","2021-07-29","1","0","1","0","0","924","219"
"19","1","2021-07-29","1","0","1","0","0","451","126"
"19","2","2021-07-29","0","0","0","0","0","466","92"
"21","0","2021-07-29","72","4","29","39","0","3832","945"
"21","1","2021-07-29","35","1","13","21","0","1933","548"
"21","2","2021-07-29","36","2","16","18","0","1872","390"
"22","0","2021-07-29","19","1","9","6","3","1270","248"
"22","1","2021-07-29","9","1","5","1","2","601","141"
"22","2","2021-07-29","9","0","4","4","1","665","106"
"23","0","2021-07-29","18","1","8","9","0","598","97"
"23","1","2021-07-29","12","1","6","5","0","298","55"
"23","2","2021-07-29","6","0","2","4","0","298","41"
"24","0","2021-07-29","87","0","25","62","0","869","222"
"24","1","2021-07-29","42","0","12","30","0","418","124"
"24","2","2021-07-29","45","0","13","32","0","451","98"
"25","0","2021-07-29","23","3","12","8","0","2446","522"
"25","1","2021-07-29","7","0","5","2","0","1271","311"
"25","2","2021-07-29","16","3","7","6","0","1170","210"
"26","0","2021-07-29","31","3","15","13","0","2971","775"
"26","1","2021-07-29","19","3","7","9","0","1505","436"
"26","2","2021-07-29","12","0","8","4","0","1424","322"
"27","0","2021-07-29","66","0","8","58","0","1981","502"
"27","1","2021-07-29","26","0","6","20","0","970","278"
"27","2","2021-07-29","39","0","2","37","0","993","218"
"28","0","2021-07-29","21","4","12","5","0","2907","516"
"28","1","2021-07-29","14","3","8","3","0","1476","280"
"28","2","2021-07-29","7","1","4","2","0","1411","234"
"29","0","2021-07-29","42","5","16","19","2","1168","266"
"29","1","2021-07-29","29","5","9","13","2","597","171"
"29","2","2021-07-29","13","0","7","6","0","560","92"
"2A","0","2021-07-29","19","1","4","12","2","521","118"
"2A","1","2021-07-29","12","1","4","6","1","264","65"
"2A","2","2021-07-29","7","0","0","6","1","256","53"
"2B","0","2021-07-29","15","3","10","2","0","465","88"
"2B","1","2021-07-29","8","1","5","2","0","258","56"
"2B","2","2021-07-29","7","2","5","0","0","205","32"
"30","0","2021-07-29","76","6","32","37","1","3030","653"
"30","1","2021-07-29","38","5","15","18","0","1570","379"
"30","2","2021-07-29","38","1","17","19","1","1443","274"
"31","0","2021-07-29","163","27","70","63","3","5403","820"
"31","1","2021-07-29","84","18","38","28","0","2829","503"
"31","2","2021-07-29","75","9","29","34","3","2540","312"
"32","0","2021-07-29","9","2","5","2","0","474","102"
"32","1","2021-07-29","6","2","2","2","0","230","57"
"32","2","2021-07-29","3","0","3","0","0","242","45"
"33","0","2021-07-29","118","24","71","23","0","5576","1083"
"33","1","2021-07-29","71","17","41","13","0","2853","608"
"33","2","2021-07-29","46","7","29","10","0","2701","472"
"34","0","2021-07-29","136","30","66","39","1","4912","999"
"34","1","2021-07-29","65","19","30","16","0","2603","587"
"34","2","2021-07-29","71","11","36","23","1","2294","409"
"35","0","2021-07-29","143","8","81","53","1","3605","716"
"35","1","2021-07-29","68","5","44","19","0","1810","395"
"35","2","2021-07-29","75","3","37","34","1","1768","318"
"36","0","2021-07-29","13","1","3","9","0","1051","269"
"36","1","2021-07-29","7","1","2","4","0","530","143"
"36","2","2021-07-29","5","0","0","5","0","510","123"
"37","0","2021-07-29","45","7","9","27","2","2224","503"
"37","1","2021-07-29","27","5","7","14","1","1139","312"
"37","2","2021-07-29","18","2","2","13","1","1081","190"
"38","0","2021-07-29","101","11","55","29","6","7817","1776"
"38","1","2021-07-29","53","8","27","16","2","3796","1025"
"38","2","2021-07-29","47","3","27","13","4","3984","742"
"39","0","2021-07-29","11","1","7","0","3","2005","486"
"39","1","2021-07-29","7","1","4","0","2","914","253"
"39","2","2021-07-29","4","0","3","0","1","1074","230"
"40","0","2021-07-29","23","2","18","3","0","938","252"
"40","1","2021-07-29","11","0","11","0","0","483","131"
"40","2","2021-07-29","12","2","7","3","0","452","118"
"41","0","2021-07-29","27","1","4","21","1","1651","331"
"41","1","2021-07-29","19","0","3","15","1","831","201"
"41","2","2021-07-29","8","1","1","6","0","815","130"
"42","0","2021-07-29","69","8","34","27","0","5948","1369"
"42","1","2021-07-29","43","4","24","15","0","2969","793"
"42","2","2021-07-29","26","4","10","12","0","2936","566"
"43","0","2021-07-29","28","1","7","19","1","1298","258"
"43","1","2021-07-29","12","0","4","8","0","635","146"
"43","2","2021-07-29","16","1","3","11","1","643","110"
"44","0","2021-07-29","56","8","29","18","1","4023","847"
"44","1","2021-07-29","32","6","14","11","1","2020","472"
"44","2","2021-07-29","24","2","15","7","0","2003","375"
"45","0","2021-07-29","96","16","23","52","5","3142","657"
"45","1","2021-07-29","48","11","8","27","2","1592","400"
"45","2","2021-07-29","48","5","15","25","3","1534","254"
"46","0","2021-07-29","5","0","3","2","0","415","100"
"46","1","2021-07-29","4","0","3","1","0","204","61"
"46","2","2021-07-29","1","0","0","1","0","210","39"
"47","0","2021-07-29","7","0","6","1","0","888","185"
"47","1","2021-07-29","3","0","2","1","0","444","112"
"47","2","2021-07-29","4","0","4","0","0","420","69"
"48","0","2021-07-29","2","0","1","1","0","451","119"
"48","1","2021-07-29","1","0","1","0","0","241","70"
"48","2","2021-07-29","1","0","0","1","0","205","49"
"49","0","2021-07-29","52","6","28","17","1","3416","714"
"49","1","2021-07-29","34","6","17","11","0","1679","441"
"49","2","2021-07-29","18","0","11","6","1","1737","273"
"50","0","2021-07-29","56","5","14","37","0","1540","380"
"50","1","2021-07-29","34","3","9","22","0","777","211"
"50","2","2021-07-29","21","2","4","15","0","750","164"
"51","0","2021-07-29","64","3","38","23","0","3641","912"
"51","1","2021-07-29","27","2","19","6","0","1823","509"
"51","2","2021-07-29","33","1","17","15","0","1774","393"
"52","0","2021-07-29","11","0","5","6","0","1384","373"
"52","1","2021-07-29","6","0","4","2","0","664","190"
"52","2","2021-07-29","5","0","1","4","0","709","178"
"53","0","2021-07-29","6","1","4","1","0","1303","277"
"53","1","2021-07-29","2","0","2","0","0","634","154"
"53","2","2021-07-29","4","1","2","1","0","669","123"
"54","0","2021-07-29","100","12","54","32","2","4730","1214"
"54","1","2021-07-29","40","6","22","12","0","2350","698"
"54","2","2021-07-29","59","6","31","20","2","2349","509"
"55","0","2021-07-29","7","0","2","4","1","1403","380"
"55","1","2021-07-29","2","0","2","0","0","692","213"
"55","2","2021-07-29","5","0","0","4","1","707","167"
"56","0","2021-07-29","76","7","29","9","31","2100","435"
"56","1","2021-07-29","41","5","16","3","17","1062","253"
"56","2","2021-07-29","35","2","13","6","14","1025","180"
"57","0","2021-07-29","85","17","45","20","3","7658","2415"
"57","1","2021-07-29","44","14","18","11","1","3846","1349"
"57","2","2021-07-29","41","3","27","9","2","3766","1047"
"58","0","2021-07-29","20","1","2","17","0","1099","335"
"58","1","2021-07-29","10","0","1","9","0","517","189"
"58","2","2021-07-29","10","1","1","8","0","566","143"
"59","0","2021-07-29","305","32","165","100","8","17570","3905"
"59","1","2021-07-29","138","21","65","47","5","8722","2135"
"59","2","2021-07-29","160","11","96","50","3","8691","1747"
"60","0","2021-07-29","124","8","26","88","2","5210","1391"
"60","1","2021-07-29","63","6","12","44","1","2581","771"
"60","2","2021-07-29","61","2","14","44","1","2589","608"
"61","0","2021-07-29","35","3","10","22","0","1716","357"
"61","1","2021-07-29","11","2","4","5","0","796","201"
"61","2","2021-07-29","24","1","6","17","0","902","152"
"62","0","2021-07-29","211","20","97","93","1","8383","1958"
"62","1","2021-07-29","114","16","51","46","1","4013","1031"
"62","2","2021-07-29","97","4","46","47","0","4273","907"
"63","0","2021-07-29","57","3","20","23","11","2794","747"
"63","1","2021-07-29","23","1","9","9","4","1316","408"
"63","2","2021-07-29","31","2","11","14","4","1455","335"
"64","0","2021-07-29","70","11","33","24","2","2090","482"
"64","1","2021-07-29","36","8","17","11","0","1057","262"
"64","2","2021-07-29","31","3","14","13","1","1020","218"
"65","0","2021-07-29","11","2","7","2","0","988","210"
"65","1","2021-07-29","6","2","4","0","0","481","106"
"65","2","2021-07-29","5","0","3","2","0","502","104"
"66","0","2021-07-29","76","12","42","20","2","1454","335"
"66","1","2021-07-29","39","8","23","8","0","770","216"
"66","2","2021-07-29","37","4","19","12","2","683","118"
"67","0","2021-07-29","74","7","41","25","1","7385","1741"
"67","1","2021-07-29","37","3","19","14","1","3790","975"
"67","2","2021-07-29","34","3","20","11","0","3580","759"
"68","0","2021-07-29","41","8","21","10","2","6269","1528"
"68","1","2021-07-29","21","7","7","6","1","3225","868"
"68","2","2021-07-29","20","1","14","4","1","3034","657"
"69","0","2021-07-29","179","40","62","72","5","15515","3188"
"69","1","2021-07-29","95","24","32","37","2","7657","1861"
"69","2","2021-07-29","83","16","30","34","3","7695","1300"
"70","0","2021-07-29","12","1","7","4","0","1308","266"
"70","1","2021-07-29","5","1","3","1","0","650","152"
"70","2","2021-07-29","7","0","4","3","0","655","113"
"71","0","2021-07-29","48","2","23","17","6","4776","1107"
"71","1","2021-07-29","28","2","12","12","2","2192","590"
"71","2","2021-07-29","20","0","11","5","4","2543","509"
"72","0","2021-07-29","23","1","6","16","0","3007","611"
"72","1","2021-07-29","8","1","3","4","0","1423","351"
"72","2","2021-07-29","15","0","3","12","0","1584","260"
"73","0","2021-07-29","43","2","28","11","2","2936","701"
"73","1","2021-07-29","27","1","18","6","2","1464","403"
"73","2","2021-07-29","16","1","10","5","0","1456","296"
"74","0","2021-07-29","48","11","25","12","0","5001","1033"
"74","1","2021-07-29","19","6","8","5","0","2602","612"
"74","2","2021-07-29","28","5","17","6","0","2375","418"
"75","0","2021-07-29","272","71","146","52","3","20964","4587"
"75","1","2021-07-29","157","47","82","27","1","11264","2831"
"75","2","2021-07-29","114","23","64","25","2","9556","1739"
"76","0","2021-07-29","154","21","91","42","0","6757","1560"
"76","1","2021-07-29","68","11","39","18","0","3273","858"
"76","2","2021-07-29","84","9","51","24","0","3438","693"
"77","0","2021-07-29","130","37","42","49","2","9243","2056"
"77","1","2021-07-29","77","25","20","31","1","4778","1172"
"77","2","2021-07-29","53","12","22","18","1","4408","873"
"78","0","2021-07-29","117","20","36","58","3","8614","1854"
"78","1","2021-07-29","51","10","17","21","3","4385","1098"
"78","2","2021-07-29","66","10","19","37","0","4200","754"
"79","0","2021-07-29","5","1","3","1","0","1148","258"
"79","1","2021-07-29","3","0","3","0","0","537","146"
"79","2","2021-07-29","2","1","0","1","0","603","111"
"80","0","2021-07-29","139","10","59","67","3","3198","946"
"80","1","2021-07-29","55","5","21","27","2","1586","533"
"80","2","2021-07-29","82","5","37","40","0","1536","397"
"81","0","2021-07-29","28","3","11","14","0","1445","382"
"81","1","2021-07-29","16","3","7","6","0","725","228"
"81","2","2021-07-29","12","0","4","8","0","715","153"
"82","0","2021-07-29","16","3","8","5","0","927","226"
"82","1","2021-07-29","9","2","5","2","0","486","116"
"82","2","2021-07-29","7","1","3","3","0","427","102"
"83","0","2021-07-29","137","19","54","64","0","6215","1503"
"83","1","2021-07-29","69","16","24","29","0","3138","881"
"83","2","2021-07-29","68","3","30","35","0","2998","608"
"84","0","2021-07-29","58","5","31","19","3","4133","906"
"84","1","2021-07-29","20","2","12","6","0","2022","528"
"84","2","2021-07-29","38","3","19","13","3","2063","364"
"85","0","2021-07-29","19","3","10","6","0","1671","295"
"85","1","2021-07-29","11","2","5","4","0","846","184"
"85","2","2021-07-29","7","1","4","2","0","825","111"
"86","0","2021-07-29","4","0","2","2","0","1355","270"
"86","1","2021-07-29","1","0","1","0","0","709","147"
"86","2","2021-07-29","3","0","1","2","0","634","120"
"87","0","2021-07-29","32","7","15","10","0","1235","328"
"87","1","2021-07-29","15","5","5","5","0","586","189"
"87","2","2021-07-29","17","2","10","5","0","644","138"
"88","0","2021-07-29","29","1","7","21","0","2930","859"
"88","1","2021-07-29","15","1","4","10","0","1398","472"
"88","2","2021-07-29","14","0","3","11","0","1521","385"
"89","0","2021-07-29","21","3","10","8","0","2372","590"
"89","1","2021-07-29","12","3","6","3","0","1163","328"
"89","2","2021-07-29","9","0","4","5","0","1184","257"
"90","0","2021-07-29","6","0","5","1","0","2218","600"
"90","1","2021-07-29","2","0","2","0","0","1093","352"
"90","2","2021-07-29","4","0","3","1","0","1125","248"
"91","0","2021-07-29","173","31","41","98","3","9823","1902"
"91","1","2021-07-29","86","20","21","45","0","4834","1031"
"91","2","2021-07-29","86","11","20","52","3","4688","830"
"92","0","2021-07-29","307","44","98","145","20","15030","2736"
"92","1","2021-07-29","152","27","57","63","5","7864","1607"
"92","2","2021-07-29","147","17","40","79","11","7059","1116"
"93","0","2021-07-29","347","41","96","203","7","13756","2493"
"93","1","2021-07-29","178","25","49","103","1","7289","1478"
"93","2","2021-07-29","164","16","45","97","6","6316","989"
"94","0","2021-07-29","141","15","57","64","5","14144","2992"
"94","1","2021-07-29","64","13","28","20","3","7161","1698"
"94","2","2021-07-29","74","2","26","44","2","6864","1268"
"95","0","2021-07-29","133","12","29","83","9","9565","2050"
"95","1","2021-07-29","68","9","18","36","5","5028","1227"
"95","2","2021-07-29","65","3","11","47","4","4457","811"
"01","0","2021-07-30","55","4","20","31","0","2916","625"
"01","1","2021-07-30","24","2","9","13","0","1452","368"
"01","2","2021-07-30","31","2","11","18","0","1440","254"
"02","0","2021-07-30","41","4","17","18","2","4363","1118"
"02","1","2021-07-30","21","4","7","10","0","2109","617"
"02","2","2021-07-30","19","0","10","8","1","2232","493"
"03","0","2021-07-30","12","1","10","1","0","2164","589"
"03","1","2021-07-30","5","1","4","0","0","999","335"
"03","2","2021-07-30","7","0","6","1","0","1143","244"
"04","0","2021-07-30","41","1","10","30","0","1185","254"
"04","1","2021-07-30","20","1","6","13","0","568","151"
"04","2","2021-07-30","21","0","4","17","0","586","96"
"05","0","2021-07-30","10","0","6","3","1","1269","255"
"05","1","2021-07-30","4","0","2","2","0","632","156"
"05","2","2021-07-30","6","0","4","1","1","628","97"
"06","0","2021-07-30","178","30","94","51","3","6730","1539"
"06","1","2021-07-30","91","21","48","21","1","3379","891"
"06","2","2021-07-30","83","9","42","30","2","3261","632"
"07","0","2021-07-30","16","1","14","1","0","2068","502"
"07","1","2021-07-30","14","1","12","1","0","950","298"
"07","2","2021-07-30","2","0","2","0","0","1082","201"
"08","0","2021-07-30","2","0","2","0","0","1197","374"
"08","1","2021-07-30","1","0","1","0","0","613","219"
"08","2","2021-07-30","1","0","1","0","0","573","154"
"09","0","2021-07-30","21","6","15","0","0","438","81"
"09","1","2021-07-30","13","3","10","0","0","204","49"
"09","2","2021-07-30","8","3","5","0","0","230","32"
"10","0","2021-07-30","21","1","9","11","0","1976","442"
"10","1","2021-07-30","13","1","6","6","0","1024","264"
"10","2","2021-07-30","8","0","3","5","0","941","175"
"11","0","2021-07-30","50","7","34","8","1","1259","368"
"11","1","2021-07-30","23","5","14","4","0","633","211"
"11","2","2021-07-30","26","2","20","3","1","614","146"
"12","0","2021-07-30","14","0","9","5","0","1071","235"
"12","1","2021-07-30","7","0","5","2","0","544","134"
"12","2","2021-07-30","7","0","4","3","0","511","99"
"13","0","2021-07-30","473","85","184","194","10","21817","3651"
"13","1","2021-07-30","241","60","79","98","4","11232","2147"
"13","2","2021-07-30","230","25","105","95","5","10449","1477"
"14","0","2021-07-30","69","9","48","11","1","2723","615"
"14","1","2021-07-30","34","6","21","7","0","1320","341"
